species,Control_R1,Control_R2,A_R1,A_R2,B_R1,B_R2
Bifidobacterium bifidum,7.1296,5.0689,12.3905,6.5088,12.361,19.6386
Lactobacillus acidophilus,0.0,1.5076,3.2884,3.0498,1.4205,7.8599
Bifidobacterium adolescentis,9.4723,2.5209,13.0599,11.8849,9.1369,10.9719
Bifidobacterium longum,9.9385,4.5449,10.9524,13.7371,9.5213,10.0156
Catenibacterium tridentinum,2.5612,0.3143,2.0679,2.1465,2.1397,2.1901
Escherichia coli,32.3609,56.7068,8.6475,11.1042,11.3136,15.2895
Bacteroides uniformis,8.1067,2.4758,3.888,3.5813,3.3872,5.2911
Agathobacter rectalis,0.4674,0.6395,2.6196,2.1744,2.1638,4.1939
Coprococcus eutactus,0.5044,0.6061,2.1975,1.8521,1.9952,3.1395
Phocaeicola vulgatus,5.5804,1.7277,2.2703,2.7128,2.1143,3.0569
Alistipes putredinis,1.278,0.6255,2.6742,2.4575,2.523,2.8085
Collinsella aerofaciens,3.8065,0.6358,3.9598,5.0465,3.4481,1.6372
Faecalibacterium prausnitzii,0.3877,0.7667,1.475,1.0106,1.1738,1.304
Bifidobacterium animalis,0.3068,0.3884,1.8067,1.2665,0.9122,0.2626
Bifidobacterium pseudocatenulatum,1.2359,0.4045,3.4615,2.8048,2.0821,1.5241
Ruminococcus bromii,0.6503,0.7441,1.4051,1.3947,0.946,1.1312
Ruminococcus bovis,0.0103,0.266,1.037,0.9348,0.8774,1.2669
Acidaminococcus provencensis,0.0,0.0,0.4647,0.4729,0.5445,0.4567
Blautia wexlerae,0.5369,0.6451,1.0982,0.9956,0.6383,0.588
Candidatus Cibionibacter quicibialis,0.4724,0.5044,1.1472,0.9445,0.9814,1.0512
Blautia massiliensis ex Durand et al 2017,0.6731,0.6933,1.29,1.2245,0.9775,1.036
Alistipes onderdonkii,0.7962,0.2771,1.2098,1.0451,1.1774,0.9457
Blautia faecis,0.1996,0.4374,1.134,1.0159,0.8007,0.8514
Megamonas funiformis,0.0943,0.0651,2.8909,3.1965,4.9359,0.3711
Megasphaera sp NM10,0.0,0.0128,0.5564,0.4764,0.3838,0.0793
Dorea longicatena,0.0551,0.2547,0.6171,0.48,0.5918,0.3754
Dialister succinatiphilus,0.1424,0.1556,0.6708,0.4986,0.4359,0.0539
